------------------------------
Entry: 412, Minute: 7, Seconds: 2, Temp: 17.00
Entry: 413, Minute: 7, Seconds: 3, Temp: 17.10
Entry: 414, Minute: 7, Seconds: 4, Temp: 17.00
Entry: 415, Minute: 7, Seconds: 5, Temp: 17.00
Entry: 416, Minute: 7, Seconds: 6, Temp: 17.00
Entry: 417, Minute: 7, Seconds: 7, Temp: 17.00
Entry: 418, Minute: 7, Seconds: 8, Temp: 17.00
Entry: 419, Minute: 7, Seconds: 9, Temp: 17.00
Entry: 420, Minute: 7, Seconds: 10, Temp: 17.00
Entry: 421, Minute: 7, Seconds: 11, Temp: 17.10
Entry: 422, Minute: 7, Seconds: 12, Temp: 17.00
Entry: 423, Minute: 7, Seconds: 13, Temp: 17.00
Entry: 424, Minute: 7, Seconds: 14, Temp: 17.00
Entry: 425, Minute: 7, Seconds: 15, Temp: 17.00
Entry: 426, Minute: 7, Seconds: 16, Temp: 17.00
Entry: 427, Minute: 7, Seconds: 17, Temp: 17.00
Entry: 428, Minute: 7, Seconds: 18, Temp: 17.00
Entry: 429, Minute: 7, Seconds: 19, Temp: 17.00
Entry: 430, Minute: 7, Seconds: 20, Temp: 17.00
Entry: 431, Minute: 7, Seconds: 21, Temp: 17.00
Entry: 432, Minute: 7, Seconds: 22, Temp: 17.00
Entry: 433, Minute: 7, Seconds: 23, Temp: 17.00
Entry: 434, Minute: 7, Seconds: 24, Temp: 17.00
Entry: 435, Minute: 7, Seconds: 25, Temp: 17.00
Entry: 436, Minute: 7, Seconds: 26, Temp: 17.00
Entry: 437, Minute: 7, Seconds: 27, Temp: 17.00
Entry: 438, Minute: 7, Seconds: 28, Temp: 17.00
Entry: 439, Minute: 7, Seconds: 29, Temp: 17.00
Entry: 440, Minute: 7, Seconds: 30, Temp: 17.00
Entry: 441, Minute: 7, Seconds: 31, Temp: 17.00
Entry: 442, Minute: 7, Seconds: 32, Temp: 17.00
Entry: 443, Minute: 7, Seconds: 33, Temp: 17.00
Entry: 444, Minute: 7, Seconds: 34, Temp: 17.00
Entry: 445, Minute: 7, Seconds: 35, Temp: 17.00
Entry: 446, Minute: 7, Seconds: 37, Temp: 17.00
Entry: 447, Minute: 7, Seconds: 38, Temp: 17.00
Entry: 448, Minute: 7, Seconds: 39, Temp: 17.00
Entry: 449, Minute: 7, Seconds: 40, Temp: 17.00
