Started 12:00 AM 3/29/2015


------------------------------
Entry: 136, Minute: 2, Seconds: 19, Temp: 16.50
Entry: 137, Minute: 2, Seconds: 20, Temp: 16.40
Entry: 138, Minute: 2, Seconds: 21, Temp: 16.50
Entry: 139, Minute: 2, Seconds: 22, Temp: 16.50
Entry: 140, Minute: 2, Seconds: 23, Temp: 16.40
Entry: 141, Minute: 2, Seconds: 24, Temp: 16.50
Entry: 142, Minute: 2, Seconds: 25, Temp: 16.50
Entry: 143, Minute: 2, Seconds: 26, Temp: 16.50
Entry: 144, Minute: 2, Seconds: 27, Temp: 16.40
Entry: 145, Minute: 2, Seconds: 28, Temp: 16.50
Entry: 146, Minute: 2, Seconds: 29, Temp: 16.40
Entry: 147, Minute: 2, Seconds: 30, Temp: 16.50
Entry: 148, Minute: 2, Seconds: 31, Temp: 16.50
Entry: 149, Minute: 2, Seconds: 32, Temp: 16.50
Entry: 150, Minute: 2, Seconds: 33, Temp: 16.50
Entry: 151, Minute: 2, Seconds: 34, Temp: 16.40
Entry: 152, Minute: 2, Seconds: 35, Temp: 16.50
Entry: 153, Minute: 2, Seconds: 36, Temp: 16.50
Entry: 154, Minute: 2, Seconds: 37, Temp: 16.50
Entry: 155, Minute: 2, Seconds: 38, Temp: 16.50
Entry: 156, Minute: 2, Seconds: 39, Temp: 16.50
Entry: 157, Minute: 2, Seconds: 40, Temp: 16.40
Entry: 158, Minute: 2, Seconds: 41, Temp: 16.50
Entry: 159, Minute: 2, Seconds: 42, Temp: 16.50
Entry: 160, Minute: 2, Seconds: 43, Temp: 16.40
Entry: 161, Minute: 2, Seconds: 44, Temp: 16.50
Entry: 162, Minute: 2, Seconds: 45, Temp: 16.50
Entry: 163, Minute: 2, Seconds: 46, Temp: 16.50
Entry: 164, Minute: 2, Seconds: 47, Temp: 16.50
Entry: 165, Minute: 2, Seconds: 48, Temp: 16.50
Entry: 166, Minute: 2, Seconds: 49, Temp: 16.50
Entry: 167, Minute: 2, Seconds: 51, Temp: 16.50
Entry: 168, Minute: 2, Seconds: 52, Temp: 16.50
Entry: 169, Minute: 2, Seconds: 53, Temp: 16.50
Entry: 170, Minute: 2, Seconds: 54, Temp: 16.50
Entry: 171, Minute: 2, Seconds: 55, Temp: 16.50
Entry: 172, Minute: 2, Seconds: 56, Temp: 16.50
Entry: 173, Minute: 2, Seconds: 57, Temp: 16.40
Entry: 174, Minute: 2, Seconds: 58, Temp: 16.50
Entry: 175, Minute: 2, Seconds: 59, Temp: 16.50
Entry: 176, Minute: 3, Seconds: 0, Temp: 16.50
Entry: 177, Minute: 3, Seconds: 1, Temp: 16.50
Entry: 178, Minute: 3, Seconds: 2, Temp: 16.50
Entry: 179, Minute: 3, Seconds: 3, Temp: 16.50
Entry: 180, Minute: 3, Seconds: 4, Temp: 16.50
Entry: 181, Minute: 3, Seconds: 5, Temp: 16.50
Entry: 182, Minute: 3, Seconds: 6, Temp: 16.50
Entry: 183, Minute: 3, Seconds: 7, Temp: 16.50
Entry: 184, Minute: 3, Seconds: 8, Temp: 16.50
Entry: 185, Minute: 3, Seconds: 9, Temp: 16.50
Entry: 186, Minute: 3, Seconds: 10, Temp: 16.50
Entry: 187, Minute: 3, Seconds: 11, Temp: 16.50
Entry: 188, Minute: 3, Seconds: 12, Temp: 16.50
Entry: 189, Minute: 3, Seconds: 13, Temp: 16.50
Entry: 190, Minute: 3, Seconds: 14, Temp: 16.50
Entry: 191, Minute: 3, Seconds: 15, Temp: 16.50
Entry: 192, Minute: 3, Seconds: 16, Temp: 16.40
Entry: 193, Minute: 3, Seconds: 17, Temp: 16.50
Entry: 194, Minute: 3, Seconds: 18, Temp: 16.40
Entry: 195, Minute: 3, Seconds: 19, Temp: 16.50
Entry: 196, Minute: 3, Seconds: 20, Temp: 16.50
Entry: 197, Minute: 3, Seconds: 21, Temp: 16.40
Entry: 198, Minute: 3, Seconds: 22, Temp: 16.50
Entry: 199, Minute: 3, Seconds: 23, Temp: 16.40
Entry: 200, Minute: 3, Seconds: 24, Temp: 16.50
Entry: 201, Minute: 3, Seconds: 25, Temp: 16.50
Entry: 202, Minute: 3, Seconds: 26, Temp: 16.50
Entry: 203, Minute: 3, Seconds: 27, Temp: 16.50
Entry: 204, Minute: 3, Seconds: 28, Temp: 16.50
Entry: 205, Minute: 3, Seconds: 29, Temp: 16.50
Entry: 206, Minute: 3, Seconds: 30, Temp: 16.50
Entry: 207, Minute: 3, Seconds: 31, Temp: 16.50
Entry: 208, Minute: 3, Seconds: 32, Temp: 16.50
